label,claim
half-true,On running for the U.S. Senate as an independent.
true,"Risk analysts listed Donald Trump, a Donald Trump presidency, as one of the top threats facing the global economy, ahead of terrorism."
half-true,Says Scott Walkers plan to replace Obamacare is a new entitlement program for every single American human being from the time they are born right up until they grow old and become eligible for Medicare.
barely-true,"Attempts to find things like, crime, criminal activity, indictment, have been filtered out by Google in favor of Hillary Clinton."
true,Almost every state has offered an insurance plan on its health exchange that does not cover abortion.
barely-true,Michael Bennet cast the deciding vote for the stimulus and the health care bill.
half-true,We already pay the highest electricity prices in the country here in New England.
true,"The national economic recovery has led to higher than expected tax revenues and projected budget surpluses in nearly every state in the nation, including Wisconsin."
false,"Obama ""supports hate-crimes expansion ... potentially putting churches at risk if they preach the truth about homosexuality."""
half-true,"Barack Obama ""extended health care for wounded troops who'd been neglected."""
false,On whether state employees should contribute to their pensions.
barely-true,"Full marriage equality [would provide same-sex couples] with about 1,700 rights."
half-true,About 22 percent of adults in Rhode Island and approximately 30 percent of youth (ages 10-17) are considered obese.
true,The mosquito population in South Florida is larger than it is in many other communities in the country.
barely-true,U.S. Rep. John Barrows plan puts the IRS in charge of your health care.
pants-fire,Says Barack Obama said that ordinary men and women are too small-minded to govern their own affairs and that individuals should surrender their rights to an all-powerful sovereign.
mostly-true,I have a record on the environment of creating green energy ... taking trash and turning it into cash.
false,Homicides against blacks have tripled since Floridas stand your ground law has been in existence.
half-true,"If you don't count illegal aliens, people who qualify for other insurance, and people who make more than $75,000 a year, it leaves about 15 million people who are uninsured."
false,Over half the people on disability are either anxious or their back hurts.
barely-true,"Theres a section in the Constitution called the Emoluments Clause that says no one, nor their spouses, can take money from foreigners. (Hillary Clinton) has to be guilty of 70 or 100 counts just on that one charge."
half-true,There never really was a Hastert Rule.
half-true,There are 3 million jobs available in America that are not filled because too many of our people dont have the skills for those jobs.
pants-fire,"Up until two weeks ago, John McCain was a leading proponent of amnesty. Now with me challenging him, suddenly he has changed."
barely-true,Regulations on developers have thwarted construction on county-owned land in Milwaukees downtown Park East corridor.
true,Texas families have kept more than $10 billion in their family budgets since we successfully fought to restore Texas sales tax deduction a decade ago.
half-true,"The middle class can be defined to include those with income between roughly $20,000 and $60,000."
barely-true,"Chris Christie cut equal pay for women, calling it senseless bureaucracy."
false,"Under President Barack Obama, income levels and unemployment numbers are worse now than just about ever for African-Americans."
mostly-true,"In 2008, only 54 percent of Latinos in Texas were registered to vote and only 35 percent actually turned out."
mostly-true,Wind powers nearly 13 million homes across the country.
half-true,The majority of Americans now doubt that our children will have a better future.
true,"Under the compromise tax agreement, 99.7% of American families will not pay 1 nickel in an estate tax."
false,"Every time weve cut taxes, revenues have gone up, the economy has grown."
true,I am the only senator who turned down the state pension plan for part-time legislators.
barely-true,"As a state representative, David Cicilline argued against Megans Law and voted against mandatory registration of sex offenders."
mostly-true,There are fewer people crossing (the southwest) border than in the last 30 years.
half-true,More than 40 percent of sales nationally are made without background checks.
half-true,"Says in Washington, D.C., Sen. Richard Burr took millions from special interests, went there and cashed in, voted to cut (his) own taxes and raise taxes on working folks."
true,Bernie Sanders passed more roll call amendments in a Republican Congress than any other member.
half-true,"A quarter of our workers make $18,000 per year."
true,Only about a third of Texans who enroll in college graduate.
barely-true,"In his book, (Ken) Cuccinelli questions whether Medicare and Social Security should exist."
pants-fire,"Says Bernie Sanders wins California landslide, But ⅔ of his votes arent counted."
true,Pat Toomey advocated for eliminating all corporate taxes.
true,There is a constitutional issue that affects the paychecks of members of Congress during a shutdown.
mostly-true,Says new EPA water regulations would force the state to make drainage canals every bit as clean as pristine Florida river systems.
mostly-true,"Eliminating earmarks ""would make barely a drop in the bucket with regard to the national debt, the deficit."""
false,Says Donald Trumps presidential victory was an electoral landslide.
mostly-true,"Theres 21 congressmen and senators that have been convicted of felonies that still get their retirement, even in jail. They dont have to wait until theyre 65."
barely-true,"The Obama administration spent $205,075 in stimulus funds to relocate a shrub that sells for $16."
half-true,It costs more money to put a person on death row than it does to lock them up for the rest of their lives because of attorney fees.
half-true,"The Obama administration estimates the number of children at the border is going to increase to 150,000 to 200,000 next year."
barely-true,"Ethanol reduced gas prices by 89 cents per gallon in 2010, and if ethanol disappeared, gas prices could rise by as much as 92 percent."
mostly-true,"Marijuana today is genetically modified, with THC levels that far surpass the marijuana of the 1970s."
half-true,"Says Rick Scotts proposed budget would lay off 20,000 teachers."
false,There were $2 billion in earmarks in fiscal year 2012.
half-true,"Forty years ago ... about half of congressional districts were genuinely competitive. Today, only about 10 percent of House races on Cook Political Report are listed as toss-ups or lean to one party."
barely-true,Georgia lawmakers are now considering passing the most extreme gun bill in America.
half-true,Says unemployment would be at 10 percent if people who have quit looking for work were included in federal labor force calculations.
false,"Says Ron Johnson is benefiting from several super PACs, I am not."
mostly-true,"Since President Obama took office, 2 million jobs. Gone."
pants-fire,Says that Tennessee Gov. Bill Haslam has made it clear by his repeated actions that he will pursue a policy that promotes the interest of Islamist (sic) and their radical ideology as long as he is governor.
mostly-true,We have the lowest percentage of Americans working today of any year since 1977.
true,"The states unemployment rate is fifth-highest in the country, a full point above the nationwide rate and higher than all of our...neighboring states."
barely-true,"Under Barack Obama, the U.S. now has the lowest workforce since (President Jimmy) Carter."
half-true,"Says he has ""the most impressive education record"" of the Republican candidates."
barely-true,One in four inmates is an illegal immigrant.
false,"The Texas Capitol faces South toward Goliad, in memory of the most horrific battle of the Texas Revolution."
false,I know that Hillary on occasion has said just last year said this (NAFTA) was a boon to the economy.
half-true,Liberal out-of-state special interests are spending millions on 5 and 6 to change the way Florida draws its congressional and legislative districts.
false,Not one Republican has the guts to recognize that climate change is real.
mostly-true,"A part-time Congress with half the pay would still make $38,000 a year more than the average American family."
barely-true,"Black Lives Matter, who are attacking law enforcement officers -- Barack Obama had them to the White House."
mostly-true,"Says that over the last decade, the states population grew three times faster than the Texas state tax system."
mostly-true,"We admit about 100,000 permanent immigrants from the Middle East every year."
half-true,Proposition 2 on Novembers Texas ballot does not cost state taxpayers any money.
half-true,"Texas AM University - Commerce offers counseling, safe spaces for students who are afraid of President-elect Trump."
mostly-true,Chris Christie has led New Jersey to a record-breaking 9 credit downgrades.
false,Some city of Atlanta employees have not had raises in eight years.
mostly-true,Nearly one in five women in America has been a victim of rape or attempted rape.
half-true,Twenty million Americans are out of work.
mostly-true,"When total Sandy spending is added up, its more than the annual budget for the U.S. Department of Homeland Security. And its more than twice the annual budget of the U.S. Energy Department."
half-true,"Since the governor took office, Oregons unemployment rate has dropped to its lowest point in three years."
mostly-true,Virginia is the number one state per capita in screening out people with mental illness from gun purchases.
mostly-true,"Says the Texas Board of Nursing has a backlog of 3,000 complaints against nurses, many of them sexual assaults, malfeasance."
mostly-true,Taxes on groceries and medicine will rise under a plan to improve roads and rail for metro Atlanta.
mostly-true,One-third of the economic stimulus package was tax cuts.
false,They delayed my swearing-in here in Massachusetts for a couple weeks so they could ram (the health care law) through.
false,Says the new Dodd-Frank financial law requires a 20 percent down payment to buy a house.
half-true,Every president since Franklin Delano Roosevelt has had fast-track trade authority.
true,"Contrary to popular belief, we actually dont have that many public employeesWe are well below average in the number of public employees."
mostly-true,Wisconsins pension system is the only one fully funded in the country.
false,"Romneycare sent costs spiraling out of control in Massachusetts, hiking premiums, squeezing household budgets."
half-true,Studies show that people that are on welfare are higher users of drugs than people not on welfare.
false,Says approximately 70 percent of jobs created in the United States in November 2007-2008 were in Texas.
half-true,"Under the cromnibus law, taxpayers must guarantee incredibly risky derivatives deals made by the nations largest banks."
half-true,"(Newt Gingrich) voted in favor of establishing the Department of Education, and yet he gets in a debate and says we should get rid of the Department of Education and send all the education issues back to the states."
false,"Says under President Barack Obama, the debt increased by 23 percent, which was less than under any president going back to Ronald Reagan."
barely-true,Dan Gelbers employment by BPs law firm could disqualify him from representing Florida against BP as Attorney General.
true,"The Senate immigration bill is filled with things like rewards for au pair agencies, Alaskan seafood processors and Vegas casinos."
barely-true,Lloyd Doggett made millions off companies like Bank of America while they took taxpayer bailout money.
barely-true,"Says. Rep. Joe Barton, R-Texas, once said, Wind is a finite resource and harnessing it would slow the winds down, which would cause the temperature to go up."
barely-true,4.7 million people have lost their insurance in 32 states due to Obamacare.
half-true,"Mitt Romneys pledged to protect (oil companies) record profits and their billions in special tax breaks, too."
half-true,"If parents ""don't have health insurance that Senator Obama wants them to have (for their children), they will be fined."""
true,Oregon schools receive millions of dollars per year in federal school lunch assistance and yet they are required to spend that money almost anywhere but Oregon.
half-true,"Says that Mitt Romneys response to the crisis in the auto industry was, Let Detroit go bankrupt."
false,"I had previously said that NATO was obsolete because it failed to deal adequately with terrorism. Since my comments, they have changed their policy and now have a new division focused on terror threats."
barely-true,"From 2010-2014, median household income in Wisconsin has actually gone up 7.4 percent."
false,Algeria wanted to be taken off of the terror list at the time it made an unreported donation to the Clinton Foundation.
true,Richard Cordrays nomination to head the Consumer Financial Protection Bureau marks the first time in Senate history that a political party has blocked a nomination of someone because they didnt like the construction of the agency.
mostly-true,We in this state saw more job creation in the last three years since Ive been governor than you saw in the whole eight years of Doyles time as governor.
barely-true,Every worker pays 15.3 percent payroll tax.
true,"In 2008, Charlie Crist applauded the pick of Sarah Palin and said she would do a great job."
true,"Illinois suffered 1,652 overdose deaths in 2014 ... of which 40 percent were associated with heroin. Illinois is ranked number one in the nation for a decline in treatment capacity between 2007 and 2012, and is now ranked the third worst in the country for state-funded treatment capacity."
true,"Since 1981, reconciliation has been used 21 times. Most of it's been used by Republicans."
false,"Yes, this would be the same congressman (Rep. Pete Hoekstra) who last year Tweeted the whereabouts of a top-secret mission to Iraq."
mostly-true,"The poverty level in the Dallas school district is one of the highest in the country, higher than New York, Chicago, Los Angeles, Houston, Detroit and Newark."
barely-true,"Romney left Massachusetts ""with a $245-million debt because of the big government-mandated health care system."""
true,Says that in the U.S. House of Representatives weve had bipartisan support for the repeal of Obamacare for getting rid of cap and trade for building the Keystone Pipeline.
mostly-true,"Were paying out-of-state residential facilities hundreds of thousands of dollars, if not more, to house children in state custody"
true,"Sen. Harry Reid voted against declaring English our national language, twice."
barely-true,"President Obama and Democrats spending addiction has driven our national debt to historic proportions, maxed out our national credit card and has now led to the Democrat Downgrade of our countrys AAA credit rating."
false,We dont have a (military) reserve force if something happens.
barely-true,"3,000 teachers lost their jobs when (Crist) was governor."
mostly-true,"The Islamic State, or ISIS, was cast off by al-Qaida because it was considered too extreme."
true,Gov. Bob McDonnellsbudget plantakesmoney out of our classrooms to pave roads.
mostly-true,"Wealthy taxpayers, not middle-income earners, get most of the deductions in the tax code."
mostly-true,Sixty-one percent of our active military are currently listed as overweight.
true,Says the proposed fiscal year 2013 budget is still below the level of state spending when I took office.
true,"Under legislation that has cleared the Georgia House, some children who are legal refugees could obtain state scholarships to attend private schools."
true,I get the most money from active duty officers and military personnel.
false,Sixty-one percent of our bridges are in trouble.
mostly-true,Says Romney called Russia our No. 1 enemy.
barely-true,Says President Barack Obamas acceptance of an Islamic order and gold medal was unconstitutional.
false,Says Charlie Crist is embroiled in a fraud case for steering taxpayer money to a de facto Ponzi scheme.
barely-true,The Atlanta areas water planning district is now the national leader in conservation.
half-true,"Every year, more than $40 million are leaving Missouri for the Lone Star State."
true,The hour of sleep you lose during the change to daylight saving time might initially pose some health risks.
mostly-true,"In 2015 roughly 10,000 political arrests occurred in Cuba. That is five times as many as occurred in 2010, when there were only about 2,000."
half-true,"The Georgia Department of Economic Development assisted with the creation of 28,776 jobs, an increase of 29 percent from last fiscal year, and $5.97 billion in investments, a 32 percent increase."
mostly-true,Says Rick Scott presided over cuts to the Bright Futures college scholarship program.
half-true,One extra year of schooling for girls reduces infant mortality rates among their children by up to 10 percent.
false,"For every 33 pregnant women that walk into a Planned Parenthood clinic, 32 receive an abortion."
barely-true,"The CBOs latest report confirms what Republicans have been saying for years now. Under Obamacare, millions of hardworking Americans will lose their jobs."
false,There is no clinical evidence that vaccinating healthcare workers protects patients.
barely-true,"When I was Mayor of South Pasadena, we actually reduced the property taxes we collected."
false,"As Secretary of State, Hillary Clinton laundered money to Bill Clinton through Laureate Education, while Bill Clinton was an honorary chairman of the group."
barely-true,Says President Barack Obama thinks Americans are lazy.
false,Over 81 percent of the babies that are born at LBJ Hospital right here in Houston are born of women who are not here legally.
half-true,Tom Ganley has two Fs from the Better Business Bureau and over 160 complaints in just three years.
true,"A telephone company will no longer have to provide landline service to customers if there is an alternative provider, including wireless."
mostly-true,Says some Georgians can get health insurance for $105 a month.
mostly-true,The United States is the leading nation in the world with the highest amount of doubt about the conventional wisdom of climate change.
mostly-true,"A bag of Cheetos costs less to buy than an apple, and in some Milwaukee neighborhoods good luck trying to find an apple or a banana or some sort of healthy option"
mostly-true,"Obama says McCain went to Bermuda and ""pledged to protect tax breaks for American corporations that hide their profits offshore."""
mostly-true,"We have empowered state insurance commissioners to review the rate hikes that are taking place in states. And in some states like North Carolina, they have already used it and rolled back premium increases by 25 percent."
false,George Allens flat tax plan would actually shrink revenues further thanthe Perry (flat tax) plan.
mostly-true,About 2 percent of Americans get paid the minimum wage.
true,"In his first TV interview as president, Obama said we should talk to Iran."
half-true,Says Rick Perry co-chaired Al Gores campaign for president.
false,"Usually it's about $900 a month to get health coverage. (Florida's program has) reduced that, on average, to about $150 a month."
barely-true,"Seven hundred thousand. Thats how many California jobs will be lost thanks to the politicians raising the minimum wage.Now Florida is adding one million jobs, not losing them."
barely-true,"Medical-grade marijuana alonewill not get that patient high, no matter what level of THC, CBD or any other compound is found in the plant."
barely-true,"Barbara Boxer voted to cut spending on Medicare benefits by $500 billion, cuts so costly to hospitals and nursing homes that they could stop taking Medicare altogether."
false,The immigration bill has a specific provision that says that Secretary Napolitano does not have to build any fence if she chooses not to.
true,"In 2010, uninsured voters made up about 5 percent of the electorate."
mostly-true,"Mitt Romney is proposing a tax plan that would give millionaires another tax break and raises taxes on middle class families by up to $2,000 a year."
mostly-true,Mitt Romney drove to Canada with the family dog Seamus strapped to the roof of the car.
mostly-true,"$50,000. Thats what every child owes today because Washington politicians have run up a huge spending tab and left our kids the bill."
half-true,"Before this law was passed, Americans were told they could keep their current health care plans. After it became law, the administration issued regulations stating nearly half of Americans would lose their current plan."
half-true,Says President Obama helped more than half a million veterans and military family members go to college through the Post-9/11 G.I. Bill.
mostly-true,"Georgia has lost more than 124,000 jobs and the unemployment rate has increased since the stimulus passed"
mostly-true,Rhode Island has the highest percentage of uninsured adults of any state in New England.
false,Rhode Island has the highest percentage of lawyers per capita in the country.
true,"Crimea became part of Ukraine only in 1954. Crimea was historically part of Russia, and (Nikita) Khrushchev gave it to Ukraine in a gesture that mystified some people."
mostly-true,California has seen a 56 percent decline in the gun murder rate since the 1990s.
half-true,Chris Christie has not been effective at creating jobs (or have) a record of governing for effectiveness. ... New Jersey (has) one of the higher unemployment rates in the country at 9.4 percent.
barely-true,"When Peppers tax was finally voted down, Pepper laid off cops and closed jails and let criminals run free in the streets."
true,"The (ARC Tunnel) project was originally estimated to be $8.7 billion, and New Jersey alone was on the hook for all overruns."
false,"Under the new Arizona immigration law, police can't stop someone to check their immigration status unless they think they see something illegal."
false,"In Texas, we teach both creationism and evolution in our public schools."
true,Wisconsins 6th congressional district has more manufacturing jobs than almost any other in the nation.
barely-true,"Romneycare has killed 18,000 Massachusetts jobs."
true,"Says budget savings by reducing pay and benefits for federal employees total $103 billion over 10 years -- more than $50,000 per worker."
barely-true,"In New England, Rhode Island has the second highest number of police officers being assaulted."
false,Mitt Romney has 15 homes.
true,The Walton family of Walmart ... This one family owns more wealth than the bottom 40 percent of the American people.
half-true,"In 2011, there were more than 28,000 new Tennessee jobs created and over $4 billion in capital investment. Our Jobs4TN plan is working."
pants-fire,I lost my health insurance and my doctor because of Obamacare.
false,Georgia has the most lax gun laws in the nation.
true,Says New Hampshire has the third-highest property tax in the country.
false,Says Romney supported a law that could have made most common forms of birth control illegal.
mostly-true,Says New Jersey has the most educated population of all the states in this country.
true,The annual gross domestic product of metro Atlanta is bigger than 28 states in the union.
false,The Justice Departments Fast and Furious gun-walking program started in the Bush administration.
barely-true,Said his mother had to fight with health insurance companies for treatment because of a pre-existing condition.
false,A [bank] surveillance camera capturing a criminals face and other identifiable traits would certainly discourage robbery attempts and serve as a deterrent to robbers.
false,A study ranked Florida No. 1 in government corruption under Gov. Rick Scott.
half-true,"In Japan, executives of failing companies say 'I'm sorry' and then either do one of two things: resign or go commit suicide."
half-true,Numerous studies have shown that these so-called right-to-work laws do not generate jobs and economic growth.
false,Russ Feingold has not worked anywhere outside of politics.
false,American troops have never been under the formal control of another nation.
half-true,Says the Congressional Budget Office is expecting a protracted economic malaise for at least the next decade under current policies.
half-true,Pollsters saydont actually believe our own data and Gallup stopped primary polling because they dont trust their methodology.
mostly-true,More people today are leaving Virginia than moving in.
pants-fire,The Mexican government ... they send the bad ones over.
half-true,"Last week the Texas State Board of Education (SBOE), led by Rick Perrys appointee, voted to remove Thomas Jefferson from social studies textbook standards. Thats right. Thomas Jefferson... was deleted from a list of historical figures who inspired political change."
barely-true,Says Mitt Romney asked for a waiver from federal welfare rules.
true,Says Central Texas river water sent to downstream rice farmers in 2011 equaled about three years worth of Austins water use.
true,"As a former federal prosecutor, I prosecuted over 4,000 cases."
false,Says U.N. arms treaty will mandate a new international gun registry.
mostly-true,"40,000 veterans in Texas wont get health care because Perry rejected Obamacares Medicaid expansion."
half-true,Theres nothing in the [RhodeMap RI] plan that takes away local government control and local zoning control.
mostly-true,"When we started this health care debate a year ago, 85 percent of the American people had health insurance, and 95 percent of the 85 percent were happy with it."
mostly-true,Pasco County has the second highest population of homeless in all of Florida.
pants-fire,"Obamacare is the biggest job-killer in this country -- millions of Americans have lost their jobs, have been forced into part-time work."
mostly-true,Thirty percent of [Sheldon Whitehouse campaign] money is coming from special interests.
mostly-true,Thirty-one percent of school districts are still receiving less funding per pupil than they did prior to the dramatic budget cuts of 2011.
half-true,On support for ethanol mandates
false,"ISIS is right now crucifying Christians in Iraq, literally nailing Christians to trees."
barely-true,Says Jeb Bush said he would take his pants off and moon everybody ... Nobody reports that.
mostly-true,"Right now, in every major poll, national poll and statewide poll done in the last month, six weeks, we are defeating Trump, often by big numbersand always at a larger margin than Secretary Clinton is."
half-true,The United States sends $300 billion -- half our trade deficit -- overseas for oil to unstable and unfriendly regimes.
false,On redistricting.
pants-fire,Says a Canadian provincial prime minister came to Ohio for his medical treatment because of the delay in Canadian health care which would have endangered his life.
true,"Hillary Clinton ""actually differed with (John McCain) by arguing for exceptions for torture before changing positions."""
half-true,"Paul Ryans already spent millions to try and permanently derail Brad (Schneider)s progressive, energized campaign."
mostly-true,The transportation sales tax would cost the average consumer an estimated $112 a year.
false,"In fact, 85 percent of Oregonians voted in 2008."
half-true,The vast majority of minimum wage workers get a raise within a year.
true,Three courts have found the new health care law constitutional and two have found it unconstitutional.
half-true,As executive director of the Democratic Party of Virginia there were 300 people on my payroll in 2008.
true,Says she condemned violence at a campaign stop in Arizona in March.
true,Says Donald Trump mocked someone with a disability.
false,Says some Planned Parenthood chapters have been selling the body parts of aborted fetuses for profit.
mostly-true,The FBI is involved in an investigation about people in the Rio Grande Valley who are using cocaine to buy votes.
pants-fire,"Donald Trump Protester Speaks Out: I Was Paid $3,500 To Protest Trumps Rally."
true,We now sell more products made in America to the rest of the world than ever before.
mostly-true,Republican state lawmakers are refusing to give the people of their own states their own tax dollars back in the form of (expanded) Medicaid.
half-true,The Georgia Department of Education has implemented a new policy beginning in August that states that public schools will no longer accept credits from home school entities or non-traditional education centers.
barely-true,Rick Scotts company is partners with Playboy in a social networking website that has community pages specifically geared towards gay dating.
true,"John McCain's health care plan ""won't guarantee coverage of cancer screenings or maternity care."""
false,A majority of Wisconsinites opposed the government takeover of health care. But Russ Feingold voted for it anyway.
half-true,"Says Marco Rubio opposes immigration reform. Worse, Rubio supports Donald Trump. His plan would deport 800,000 children, destroying families."
barely-true,Go look at a Trump product. Theyre all made in China.
true,Crime in Atlanta is down 18 percent since 2009.
false,"Under Hillary Clinton, State Department officials were sending official thank-yous to people who gave to the Clinton Foundation."
true,On mandatory ultrasounds before abortions.
half-true,"In Georgia, women earn 82 cents for every dollar earned by men."
false,"On tax inversions, the Wall Street Journalsurprisingly attacked this tax scheme."
half-true,Says Hillary Clinton called Barack Obama naive for saying he was would sit down and talk to the Iranians during the 2008 Democratic primary.
barely-true,"In 2009, we cut state spending in real terms for the first time in 150 years."
barely-true,Says Marco Rubio was for immigration reform and a pathway to citizenship before he was against it.
false,"Rob Cornilles has been endorsed by 20 local mayors, including Independent, Democratic and Republican."
pants-fire,North Korea is telling its people that their mens national team is in the World Cup final.
barely-true,"The CDC is spending money on things like jazzercise, urban gardening and massage therapy that could be redirected to Ebola."
true,Sen. Obama worked on some of the deepest issues we had and was successful in a bipartisan way.
pants-fire,Hartsfield-Jacksons new international terminal is opening within budget.
false,"Says many local governments in Wisconsin already require employees to pay 20 percent, 30 percent or even 40 percent of their health insurance premiums."
true,Kendrick Meek claims hes the only candidate who saidSonia Sotomayor will make an excellent Supreme Court justice.
half-true,"Most of the people that work in finance make $70,000, $80,000 a year."
false,"Phoenix, Arizona, is the No. 2 kidnapping capital of the world."
half-true,The bulk of the people who are shot with a weapon other than these drug gangs taking on one another end up being shot with their own weapon.
half-true,What concerns me is there is only two sentences that have been written about minority business.
barely-true,The Democrats in the Senate last year introduced a constitutional amendment to repeal the free speech protections of the First Amendment.
false,Says David Jolly lobbied for government-run health care just last year.
true,I've spent 20 years devoted to working on behalf of families who are having a tough time and are seeking out the American dream.
true,Says 97 percent of food stamp benefits are paid in the proper amounts to people who are really eligible.
half-true,"There are 278 Republicans in Congress. (With Eric Cantors defeat), they are now all Christian and all white except for one black senator, who was appointed."
true,"The president has added close to 68,000 troops in the last year, since he came into office, not just the 30,000 you hear, but the others that were added before that."
false,"A proposed tax to fund transportation projects would spend $90,000 to take a single vehicle off the road during the morning and afternoon commute."
barely-true,"Says the Congressional Budget Office said if youre going to buy your own policy with these (health care) exchanges youll be paying 10 percent more ... about $2,100 more for a family."
pants-fire,The Mexican government forces many bad people into our country.
half-true,"In Georgia, hard-earned lottery dollars are doled out to the scion[s] of wealthy families."
mostly-true,Americanschools are more segregated than they were in the 1960s.
pants-fire,Says Gov. Rick Perry is spending Texans hard-earned money to live like Louie XIV.
mostly-true,"We are younger than our competitors, and this is entirely because of immigration."
half-true,"Since taking office, President Obama has signed into law spending increases of nearly 25 percent for domestic government agencies, an 84 percent increase when you include the failed stimulus."
half-true,"A national poll found that among people who oppose the Democratic health care reform bill, ""almost 40 percent"" opposed it not because it goes too far, but because ""they dont think it goes far enough. ... They will not be unhappy when we pass health care reform."""
mostly-true,"Says a company that got tax breaks from the state later laid off 100 Ohioans, even as its CEO cut a half-million-dollar check to Kasichs super PAC."
barely-true,The families that are covered through the Low Income Pool is a different group of individuals than are covered by Obamacare.
true,"Now, I also support the Bush tax cuts. Sen. McCain voted against them originally. He now believes they should be made permanent. I'm glad he agrees they should be made permanent."
half-true,"Already, the Affordable Care Act is helping to slow the growth of (Medicares) health care costs."
false,We have more people working in the state of New Jersey today than weve ever had in our history.
barely-true,"Toledo is fourth in the nation behind much bigger cities Miami, Las Vegas, Portland in number of human trafficking arrests and rescues."
mostly-true,Charlie Crist raised taxes in 2009 and wont rule out raising taxes again.
half-true,There are currently delays of up to six months in the processing of DNA evidence at the state run crime lab.
false,Says an Obama administration policy prohibits people who work with at-risk youth from promoting marriage as a way to avoid poverty.
false,Rob Portman is the one who actually sucked the jobs out of the (Mahoning) Valley and sent them to China.
half-true,Dallas African-American and Hispanic students pass AP exams at a higher rate than any other place in America.
pants-fire,"Says in the last 20 years, the French have not stood by the United States on foreign policy."
half-true,"Says Obama opposes lower gas taxes, nuclear power, new offshore drilling and doesn't have ""new solutions"" to the energy crisis."
mostly-true,All the money the Department of Citrus has is paid for by the citrus growers. You dont save dollars by eliminating the Department of Citrus.
half-true,"Bill McCollum ""cost the rest of us billions"" as a member of Congress, including a national debt that ""skyrocketed"" to $4.7 trillion."
half-true,Franklin Roosevelt (was) the last president to come to the Congress to ask for permission to engage into war.
true,Jasper County in Texas raised property taxes by 7 percent in order to pay for one death penalty case.
mostly-true,The United States is the only advanced country on Earth that doesnt guarantee paid maternity leave to our workers.
mostly-true,"When you have 8,000 veterans a year committing suicide, then you have a serious problem."
barely-true,Says the paperback edition of Mitt Romneys book deleted line that Massachusetts individual mandate should be the model for the country
true,"Before the terrorist attacks in Benghazi, the State Department not only failed to honor repeated requests for additional security, but instead actually reduced security in Libya."
mostly-true,The Boston Marathon bombing is the fifth case in which U.S. government officials examined individuals potentially involved in terrorism and felt they were no threat and they went on to carry out terrorist murders.
true,Says taxes paid by the poorest residents of Texas are above the national average.
barely-true,A socially conservative group sponsored a prayer vigil to stop people from buying Girl Scout cookies because it thinks the Girl Scouts are affiliated with Planned Parenthood.
pants-fire,John Cornyn voted twice in 2013 to back Obamas amnesty plan.
true,"Says as a share of the US economy, the governments support for research and development (RD) has fallen by nearly two-thirds since the 1960s."
pants-fire,"From Obama's book: ""I found a solace in nursing a pervasive sense of grievance and animosity against my mother's race."""
pants-fire,Bioweapon! Zika virus is being spread by GMO mosquitos (sic)
false,On whether he would run for U.S. Senate in 2012.
pants-fire,"Says Joseph Stalin said if you want to bring America down you, have to undermine three things: our spiritual life, our patriotism and our morality."
mostly-true,"Says NFL Commissioner Roger Goodell interviewed domestic abuse victim Janay Rice with Ray Rice present and for every domestic violence agency, every law enforcement agency, thats a no-no."
true,"Says in the Legislature, (Mary Nolan) has been a party-line Democrat, showing a 100% track record in harmony with the American Civil Liberties Union."
false,Says most Texas schools spend 45 out of 180 school days in mandated testing.
mostly-true,Says Connie Mack was the only member of the Florida delegation that voted against a bill to help NASA.
barely-true,"In January, I outlined a plan to help revive our faltering economy, which formed the basis for a bipartisan stimulus package that passed the Congress."
barely-true,Says federal health care overhaul will cost Texas state government upwards of $30 billion over the next 10 years.
pants-fire,"If you care about the environment, weve got record funding."
mostly-true,"Chris Christie helped funnel $6 million in federal Hurricane Sandy money to a senior center in Belleville, N.J., a place that suffered no damage."
pants-fire,"Wisconsin has created just under 100,000 jobs since he took office."
pants-fire,We havent yet taken out a negative ad.
barely-true,"Thats legal: If you find out about somebody elses salary even if youre doing exactly the same job, you can be retaliated against, including being fired, in most places."
false,The president and vice president cant be from the same state.
mostly-true,"We admit more than 100,000 lifetime migrants from the Middle East each year."
barely-true,Says U.S. Senate candidate Eric Hovde has no problem with raising taxes.
half-true,Says she made an accurate prediction that if Barack Obama were elected it would encourage Russia to invade Ukraine.
barely-true,Women who have miscarriages could be investigated by police under legislation supported by Republican state Senate candidate Rick Gudex.
pants-fire,Planned Parenthood is nothing more than a referral service. They dont do anything except profit from killing babies and then selling body parts of those aborted babies.
mostly-true,The national debt is larger than our entire annual economy.
true,Says Mitt Romney suggested that employers should be able to make the decision as to whether or not a woman gets contraception through her insurance coverage.
half-true,Montana Democratic Sen. Jon Tester is the largest recipient of lobbyist money.
mostly-true,We cut property taxes for seniors and our middle class.
false,The conviction rate is almost exactly the same for whites and blacks who commit murder.
true,More women are graduating from college now than men.
half-true,The Affordable Care Act is making families pay double-digit premium increases.
half-true,The United States has the best health care delivery system in the world.
true,Sherrod Brown has voted with Barack Obama 95 percent of the time.
false,Says its an old wives story that Margaret Thatcher told George H.W. Bush not to go wobbly.
false,I won the majority of the Republican vote in both New Hampshire and South Carolina.
pants-fire,"While Americans pray for Paris, the government has acted on mandatory national vaccinations."
mostly-true,Uses headlines to portray Gov. Rick Perry as beholden to special interests.
mostly-true,"The American people say, dont touch Social Security, dont touch Medicare, dont cut defense. Thats 84 percent of the federal budget."
false,The next state budget will begin with a surplus of over half a billion dollars -- $535 million to be exact.
